,id,lonlat,tags.power,tags.structure,Type,Country
0,7865557364.0,"[-11.951257499999922, 9.290090099999942]",tower,,Node,sierra-leone
1,2088169751.0,"[-12.194506600000002, 8.829961200000001]",tower,,Node,sierra-leone
2,7657398891.0,"[-11.832497999999932, 9.04238480000004]",tower,,Node,sierra-leone
3,8668408891.0,"[-12.216134200000061, 8.766963999999982]",tower,,Node,sierra-leone
4,7657398883.0,"[-11.810715999999935, 9.03578090000004]",tower,,Node,sierra-leone
5,3564976695.0,"[-11.794889100000004, 9.012406000000015]",tower,,Node,sierra-leone
6,2179090531.0,"[-13.022603499999988, 8.329774000000008]",tower,,Node,sierra-leone
7,3166191364.0,"[-12.776609800000006, 8.517183099999999]",tower,,Node,sierra-leone
8,7865557365.0,"[-11.945666099999922, 9.301789399999942]",tower,,Node,sierra-leone
9,2250644882.0,"[-13.110261599999959, 8.945782500000018]",tower,,Node,sierra-leone
10,2633393668.0,"[-13.226296400000011, 8.447170400000067]",tower,,Node,sierra-leone
11,7865532145.0,"[-11.958678599999928, 9.177966899999939]",tower,,Node,sierra-leone
12,2179080527.0,"[-11.894062899999986, 8.973845700000004]",tower,,Node,sierra-leone
13,7865558827.0,"[-11.779865999999922, 9.39280819999994]",tower,,Node,sierra-leone
14,2088169788.0,"[-12.154540599999997, 8.852065300000003]",tower,,Node,sierra-leone
15,2179080523.0,"[-11.906823099999984, 8.969050300000005]",tower,,Node,sierra-leone
16,2178178101.0,"[-11.927476599999986, 8.959172000000004]",tower,,Node,sierra-leone
17,7865532153.0,"[-11.965485599999928, 9.203884099999941]",tower,,Node,sierra-leone
18,7865532149.0,"[-11.963064799999927, 9.19128129999994]",tower,,Node,sierra-leone
19,2633393672.0,"[-12.74620090000001, 8.557870600000067]",tower,,Node,sierra-leone
20,2179080541.0,"[-11.849185899999986, 8.9907046]",tower,,Node,sierra-leone
21,7865532142.0,"[-11.957773599999928, 9.16583549999994]",tower,,Node,sierra-leone
22,2359413204.0,"[-13.259446599999952, 8.468429400000023]",tower,,Node,sierra-leone
23,7657401096.0,"[-11.885062199999933, 9.06419290000004]",tower,,Node,sierra-leone
24,2179080517.0,"[-11.922634299999988, 8.962037200000003]",tower,,Node,sierra-leone
25,2178178098.0,"[-11.936485699999986, 8.955923300000004]",tower,,Node,sierra-leone
26,2179090491.0,"[-13.065080199999988, 8.323578900000008]",tower,,Node,sierra-leone
27,2178168445.0,"[-12.295098599999987, 8.818862900000001]",tower,,Node,sierra-leone
28,1872320761.0,"[-12.849858999999881, 8.448876499999976]",tower,,Node,sierra-leone
29,2179080521.0,"[-11.912489499999985, 8.966931500000005]",tower,,Node,sierra-leone
30,2178168427.0,"[-12.355829499999986, 8.809784100000003]",tower,,Node,sierra-leone
31,1872320897.0,"[-12.699693399999884, 8.614259599999976]",tower,,Node,sierra-leone
32,3046299983.0,"[-13.138247800000014, 8.375579600000028]",tower,,Node,sierra-leone
33,2088169795.0,"[-12.148529499999997, 8.855382000000002]",tower,,Node,sierra-leone
34,7865532172.0,"[-11.957439299999926, 9.271356599999942]",tower,,Node,sierra-leone
35,7865558817.0,"[-11.799830099999923, 9.365240999999942]",tower,,Node,sierra-leone
36,7865532136.0,"[-11.956032999999929, 9.14280069999994]",tower,,Node,sierra-leone
37,7657398879.0,"[-11.798233799999936, 9.035466600000039]",tower,,Node,sierra-leone
38,2359413203.0,"[-13.260666799999953, 8.468412300000022]",tower,,Node,sierra-leone
39,7865557372.0,"[-11.933036099999923, 9.310264899999943]",tower,,Node,sierra-leone
40,1983090520.0,"[-12.559839999999987, 8.68029580000001]",tower,,Node,sierra-leone
41,2179080506.0,"[-11.968512799999985, 8.944210700000003]",tower,,Node,sierra-leone
42,1983090497.0,"[-12.604998499999985, 8.657689300000014]",tower,,Node,sierra-leone
43,2088169857.0,"[-12.052189299999995, 8.883600300000001]",tower,,Node,sierra-leone
44,2179080524.0,"[-11.903511399999985, 8.970322400000004]",tower,,Node,sierra-leone
45,2088169741.0,"[-12.205690900000004, 8.828736700000002]",tower,,Node,sierra-leone
46,2178168426.0,"[-12.358160199999986, 8.808912300000003]",tower,,Node,sierra-leone
47,1872320672.0,"[-13.193973799999885, 8.426777099999978]",tower,,Node,sierra-leone
48,7865532151.0,"[-11.967549099999927, 9.19839359999994]",tower,,Node,sierra-leone
49,7657398897.0,"[-11.85576999999993, 9.05923090000004]",tower,,Node,sierra-leone
50,7865558791.0,"[-11.859687999999922, 9.303659299999943]",tower,,Node,sierra-leone
51,2178168420.0,"[-12.374750199999987, 8.802744400000003]",tower,,Node,sierra-leone
